序号,NEW_TYPE,大类,中类,小类,Big Category,Mid Category,Sub Category,权重,评价规则
214,35700,汽车维修,江淮货车维修,江淮货车维修,Auto Repair,JAC Truck Repair,JAC Truck Repair,0.29,专业需求
215,35800,汽车维修,华菱星马维修,华菱星马维修,Auto Repair,CAMC Repair,CAMC Repair,0.29,专业需求
216,35900,汽车维修,成都大运汽车维修,成都大运汽车维修,Auto Repair,Chengdu Dayun Automotive Repair,Chengdu Dayun Automotive Repair,0.29,专业需求
217,36000,汽车维修,梅赛德斯-奔驰卡车维修,梅赛德斯-奔驰卡车维修,Auto Repair,Mercedes-Benz Truck Repair,Mercedes-Benz Truck Repair,0.29,高端专业
218,36100,汽车维修,德国曼恩维修,德国曼恩维修,Auto Repair,MAN Repair,MAN Repair,0.29,高端专业
219,36200,汽车维修,斯堪尼亚维修,斯堪尼亚维修,Auto Repair,SCANIA Repair,SCANIA Repair,0.29,高端专业
220,36300,汽车维修,沃尔沃卡车维修,沃尔沃卡车维修,Auto Repair,Volvo Truck Repair,Volvo Truck Repair,0.29,高端专业
221,39900,汽车维修,观致维修,观致维修,Auto Repair,Qoros Repair,Qoros Repair,0.29,普通品牌
222,40000,摩托车服务,摩托车服务相关,摩托车服务相关,Motorcycle Service,Motorcycle Service Related,Motorcycle Service Related,0.2,低频需求
223,40100,摩托车服务,摩托车销售,摩托车销售,Motorcycle Service,Motorcycle Sales,Motorcycle Sales,0.2,低频需求
224,40101,摩托车服务,摩托车销售,宝马摩托车销售,Motorcycle Service,Motorcycle Sales,BMW Motorcycle Sales,0.29,高端品牌
225,40200,摩托车服务,摩托车维修,摩托车维修,Motorcycle Service,Motorcycle Repair,Motorcycle Repair,0.2,低频需求
226,40201,摩托车服务,摩托车维修,宝马摩托车维修,Motorcycle Service,Motorcycle Repair,BMW Motorcycle Repair,0.29,高端品牌
227,50000,餐饮服务,餐饮相关场所,餐饮相关,Food & Beverages,Food & Beverages Related,Food & Beverages Related,0.29,高频需求
228,50100,餐饮服务,中餐厅,中餐厅,Food & Beverages,Chinese Food Restaurant,Chinese Food Restaurant,0.29,高频需求
229,50101,餐饮服务,中餐厅,综合酒楼,Food & Beverages,Chinese Food Restaurant,Complex Food,0.29,品质餐饮
230,50102,餐饮服务,中餐厅,四川菜(川菜),Food & Beverages,Chinese Food Restaurant,Sichuan Food,0.29,受欢迎菜系
231,50103,餐饮服务,中餐厅,广东菜(粤菜),Food & Beverages,Chinese Food Restaurant,Cantonese Food,0.29,品质餐饮
232,50104,餐饮服务,中餐厅,山东菜(鲁菜),Food & Beverages,Chinese Food Restaurant,Shandong Food,0.29,普通菜系
233,50105,餐饮服务,中餐厅,江苏菜,Food & Beverages,Chinese Food Restaurant,Jiangsu Food,0.29,品质餐饮
234,50106,餐饮服务,中餐厅,浙江菜,Food & Beverages,Chinese Food Restaurant,Zhejiang Food,0.29,品质餐饮
235,50107,餐饮服务,中餐厅,上海菜,Food & Beverages,Chinese Food Restaurant,Shanghai Food,0.29,品质餐饮
236,50108,餐饮服务,中餐厅,湖南菜(湘菜),Food & Beverages,Chinese Food Restaurant,Hunan Food,0.29,受欢迎菜系
237,50109,餐饮服务,中餐厅,安徽菜(徽菜),Food & Beverages,Chinese Food Restaurant,Anhui Food,0.29,普通菜系
238,50110,餐饮服务,中餐厅,福建菜,Food & Beverages,Chinese Food Restaurant,Fujian Food,0.29,普通菜系
239,50111,餐饮服务,中餐厅,北京菜,Food & Beverages,Chinese Food Restaurant,Beijing Food,0.29,特色菜系
240,50112,餐饮服务,中餐厅,湖北菜(鄂菜),Food & Beverages,Chinese Food Restaurant,Hubei Food,0.29,普通菜系
241,50113,餐饮服务,中餐厅,东北菜,Food & Beverages,Chinese Food Restaurant,Northeastern Chinese Food,0.29,受欢迎菜系
242,50114,餐饮服务,中餐厅,云贵菜,Food & Beverages,Chinese Food Restaurant,Yunnan & Guizhou Food,0.29,特色菜系
243,50115,餐饮服务,中餐厅,西北菜,Food & Beverages,Chinese Food Restaurant,Northwestern Chinese Food,0.29,特色菜系
244,50116,餐饮服务,中餐厅,老字号,Food & Beverages,Chinese Food Restaurant,Traditional Brand,0.29,品质餐饮
245,50117,餐饮服务,中餐厅,火锅店,Food & Beverages,Chinese Food Restaurant,Hotpot Restaurant,0.29,受欢迎类型
246,50118,餐饮服务,中餐厅,特色/地方风味餐厅,Food & Beverages,Chinese Food Restaurant,Local Special Food,0.29,特色餐饮
247,50119,餐饮服务,中餐厅,海鲜酒楼,Food & Beverages,Chinese Food Restaurant,Sea Food,0.29,品质餐饮
248,50120,餐饮服务,中餐厅,中式素菜馆,Food & Beverages,Chinese Food Restaurant,Vegetarian Food,0.29,特色餐饮
249,50121,餐饮服务,中餐厅,清真菜馆,Food & Beverages,Chinese Food Restaurant,Islamic Food,0.29,特色餐饮
250,50122,餐饮服务,中餐厅,台湾菜,Food & Beverages,Chinese Food Restaurant,Taiwan Food,0.29,特色餐饮
251,50123,餐饮服务,中餐厅,潮州菜,Food & Beverages,Chinese Food Restaurant,Chaozhou Food,0.29,特色餐饮
252,50200,餐饮服务,外国餐厅,外国餐厅,Food & Beverages,Foreign Food Restaurant,Foreign Food Restaurant,0.29,品质餐饮
253,50201,餐饮服务,外国餐厅,西餐厅(综合风味),Food & Beverages,Foreign Food Restaurant,Western Restaurant,0.29,品质餐饮
254,50202,餐饮服务,外国餐厅,日本料理,Food & Beverages,Foreign Food Restaurant,Japanese Cuisine,0.29,高端餐饮
255,50203,餐饮服务,外国餐厅,韩国料理,Food & Beverages,Foreign Food Restaurant,South Korean Cuisine,0.29,特色餐饮
256,50204,餐饮服务,外国餐厅,法式菜品餐厅,Food & Beverages,Foreign Food Restaurant,French Food,0.29,高端餐饮
257,50205,餐饮服务,外国餐厅,意式菜品餐厅,Food & Beverages,Foreign Food Restaurant,Italian Food,0.29,品质餐饮
258,50206,餐饮服务,外国餐厅,泰国/越南菜品餐厅,Food & Beverages,Foreign Food Restaurant,Thai/Vietnamese Food,0.29,特色餐饮
259,50207,餐饮服务,外国餐厅,地中海风格菜品,Food & Beverages,Foreign Food Restaurant,Mediterranean Food,0.29,品质餐饮
260,50208,餐饮服务,外国餐厅,美式风味,Food & Beverages,Foreign Food Restaurant,American Food,0.29,普通餐饮
261,50209,餐饮服务,外国餐厅,印度风味,Food & Beverages,Foreign Food Restaurant,Indian Food,0.29,特色餐饮
262,50210,餐饮服务,外国餐厅,英国式菜品餐厅,Food & Beverages,Foreign Food Restaurant,British Food,0.29,特色餐饮
263,50211,餐饮服务,外国餐厅,牛扒店(扒房),Food & Beverages,Foreign Food Restaurant,Steak House,0.29,品质餐饮
264,50212,餐饮服务,外国餐厅,俄国菜,Food & Beverages,Foreign Food Restaurant,Russian Food,0.29,特色餐饮
265,50213,餐饮服务,外国餐厅,葡国菜,Food & Beverages,Foreign Food Restaurant,Portuguese Food,0.29,特色餐饮
266,50214,餐饮服务,外国餐厅,德国菜,Food & Beverages,Foreign Food Restaurant,German Food,0.29,特色餐饮
267,50215,餐饮服务,外国餐厅,巴西菜,Food & Beverages,Foreign Food Restaurant,Brazilian Food,0.29,特色餐饮
268,50216,餐饮服务,外国餐厅,墨西哥菜,Food & Beverages,Foreign Food Restaurant,Mexican Food,0.29,特色餐饮
269,50217,餐饮服务,外国餐厅,其它亚洲菜,Food & Beverages,Foreign Food Restaurant,Other Asian Food,0.29,特色餐饮
270,50300,餐饮服务,快餐厅,快餐厅,Food & Beverages,Fast Food Restaurant,Fast Food Restaurant,0.29,高频需求
271,50301,餐饮服务,快餐厅,肯德基,Food & Beverages,Fast Food Restaurant,KFC,0.29,知名品牌
272,50302,餐饮服务,快餐厅,麦当劳,Food & Beverages,Fast Food Restaurant,McDonald's,0.29,知名品牌
273,50303,餐饮服务,快餐厅,必胜客,Food & Beverages,Fast Food Restaurant,Pizza Hut,0.29,知名品牌
274,50304,餐饮服务,快餐厅,永和豆浆,Food & Beverages,Fast Food Restaurant,Yon ho,0.29,普通品牌
275,50305,餐饮服务,快餐厅,茶餐厅,Food & Beverages,Fast Food Restaurant,Teahouse,0.29,特色餐饮
276,50306,餐饮服务,快餐厅,大家乐,Food & Beverages,Fast Food Restaurant,Cafe de Coral,0.29,普通品牌
277,50307,餐饮服务,快餐厅,大快活,Food & Beverages,Fast Food Restaurant,Fairwood,0.29,普通品牌
278,50308,餐饮服务,快餐厅,美心,Food & Beverages,Fast Food Restaurant,Maxim's,0.29,品质餐饮
279,50309,餐饮服务,快餐厅,吉野家,Food & Beverages,Fast Food Restaurant,Yoshinoya,0.29,知名品牌
280,50310,餐饮服务,快餐厅,仙跡岩,Food & Beverages,Fast Food Restaurant,Saint's Alp Teahouse,0.29,普通品牌
281,50311,餐饮服务,快餐厅,呷哺呷哺,Food & Beverages,Fast Food Restaurant,Xiabu Xiabu,0.29,知名品牌
282,50400,餐饮服务,休闲餐饮场所,休闲餐饮场所,Food & Beverages,Leisure Food Restaurant,Leisure Food Restaurant,0.29,品质生活
283,50500,餐饮服务,咖啡厅,咖啡厅,Food & Beverages,Coffee House,Coffee House,0.29,品质生活
284,50501,餐饮服务,咖啡厅,星巴克咖啡,Food & Beverages,Coffee House,Starbucks Coffee,0.29,知名品牌
285,50502,餐饮服务,咖啡厅,上岛咖啡,Food & Beverages,Coffee House,UBC Coffee,0.29,普通品牌
286,50503,餐饮服务,咖啡厅,Pacific Coffee Company,Food & Beverages,Coffee House,Pacific Coffee Company,0.29,品质品牌
287,50504,餐饮服务,咖啡厅,巴黎咖啡店,Food & Beverages,Coffee House,Paris Cafe,0.29,普通品牌
288,50600,餐饮服务,茶艺馆,茶艺馆,Food & Beverages,Tea House,Tea House,0.29,品质生活
289,50700,餐饮服务,冷饮店,冷饮店,Food & Beverages,Icecream Shop,Icecream Shop,0.29,普通需求
290,50800,餐饮服务,糕饼店,糕饼店,Food & Beverages,Bakery,Bakery,0.29,普通需求
291,50900,餐饮服务,甜品店,甜品店,Food & Beverages,Dessert House,Dessert House,0.29,品质生活
292,60000,购物服务,购物相关场所,购物相关场所,Shopping,Shopping Related Places,Shopping Related Places,0.8,高频需求
293,60100,购物服务,商场,商场,Shopping,Shopping Plaza,Shopping Plaza,0.85,核心商业
294,60101,购物服务,商场,购物中心,Shopping,Shopping Plaza,Shopping Centre,0.9,核心商业
295,60102,购物服务,商场,普通商场,Shopping,Shopping Plaza,Shops,0.75,普通商业
296,60103,购物服务,商场,免税品店,Shopping,Shopping Plaza,Duty-free Shop,0.8,特色商业
297,60200,购物服务,便民商店/便利店,便民商店/便利店,Shopping,Convenience Store,Convenience Store,0.75,高频需求
298,60201,购物服务,便民商店/便利店,7-ELEVEn便利店,Shopping,Convenience Store,7-ELEVEn,0.85,知名品牌
299,60202,购物服务,便民商店/便利店,OK便利店,Shopping,Convenience Store,Circle K,0.8,知名品牌
300,60300,购物服务,家电电子卖场,家电电子卖场,Shopping,Home Electronics Hypermarket,Home Electronics Hypermarket,0.7,低频需求
301,60301,购物服务,家电电子卖场,综合家电商场,Shopping,Home Electronics Hypermarket,Comprehensive Home Electronics Shopping Center,0.75,品质商业
302,60302,购物服务,家电电子卖场,国美,Shopping,Home Electronics Hypermarket,GOME,0.8,知名品牌
303,60303,购物服务,家电电子卖场,大中,Shopping,Home Electronics Hypermarket,Dazhong,0.75,普通品牌
304,60304,购物服务,家电电子卖场,苏宁,Shopping,Home Electronics Hypermarket,Suning,0.8,知名品牌
305,60305,购物服务,家电电子卖场,手机销售,Shopping,Home Electronics Hypermarket,Mobile Handsets Sales,0.7,普通需求
306,60306,购物服务,家电电子卖场,数码电子,Shopping,Home Electronics Hypermarket,Digital Electronics,0.7,普通需求
307,60307,购物服务,家电电子卖场,丰泽,Shopping,Home Electronics Hypermarket,Fortress,0.75,品质商业
308,60308,购物服务,家电电子卖场,苏宁镭射,Shopping,Home Electronics Hypermarket,Suning Citicall,0.75,普通品牌
309,60400,购物服务,超级市场,超市,Shopping,Supermarket,Supermarket,0.8,高频需求
310,60401,购物服务,超级市场,家乐福,Shopping,Supermarket,Carrefour,0.85,知名品牌
311,60402,购物服务,超级市场,沃尔玛,Shopping,Supermarket,Wal-Mart,0.85,知名品牌
312,60403,购物服务,超级市场,华润,Shopping,Supermarket,CRC,0.8,知名品牌
313,60404,购物服务,超级市场,北京华联,Shopping,Supermarket,Beijing Hualian,0.75,普通品牌
314,60405,购物服务,超级市场,上海华联,Shopping,Supermarket,Shanghai Hualian,0.75,普通品牌
315,60406,购物服务,超级市场,麦德龙,Shopping,Supermarket,METRO,0.8,知名品牌
316,60407,购物服务,超级市场,乐天玛特,Shopping,Supermarket,LOTTE Mart,0.75,普通品牌
317,60408,购物服务,超级市场,华堂,Shopping,Supermarket,Ito Yokado,0.75,普通品牌
318,60409,购物服务,超级市场,卜蜂莲花,Shopping,Supermarket,Lotus,0.75,普通品牌
319,60411,购物服务,超级市场,屈臣氏,Shopping,Supermarket,Watsons,0.8,知名品牌
320,60413,购物服务,超级市场,惠康超市,Shopping,Supermarket,Wellcome,0.75,普通品牌
321,60414,购物服务,超级市场,百佳超市,Shopping,Supermarket,PARKnSHOP,0.8,知名品牌
322,60415,购物服务,超级市场,万宁超市,Shopping,Supermarket,Mannings,0.75,普通品牌
323,60500,购物服务,花鸟鱼虫市场,花鸟鱼虫市场,Shopping,Plants & Pet Market,Plants & Pet Market,0.6,特色需求
324,60501,购物服务,花鸟鱼虫市场,花卉市场,Shopping,Plants & Pet Market,Flower Shop,0.65,品质生活
325,60502,购物服务,花鸟鱼虫市场,宠物市场,Shopping,Plants & Pet Market,Pet Market,0.6,特色需求
326,60600,购物服务,家居建材市场,家居建材市场,Shopping,Home Building Materials Market,Home Building Materials Market,0.6,低频需求
327,60601,购物服务,家居建材市场,家具建材综合市场,Shopping,Home Building Materials Market,Home Building Materials Market,0.65,专业需求
328,60602,购物服务,家居建材市场,家具城,Shopping,Home Building Materials Market,Furniture Store,0.65,专业需求
329,60603,购物服务,家居建材市场,建材五金市场,Shopping,Home Building Materials Market,Hardware Store,0.6,专业需求
330,60604,购物服务,家居建材市场,厨卫市场,Shopping,Home Building Materials Market,Kitchen Supply,0.6,专业需求
331,60605,购物服务,家居建材市场,布艺市场,Shopping,Home Building Materials Market,Deco Cloth Store,0.55,低频需求
332,60606,购物服务,家居建材市场,灯具瓷器市场,Shopping,Home Building Materials Market,Lighting & Porcelain Market,0.55,低频需求
333,60700,购物服务,综合市场,综合市场,Shopping,Comprehensive Market,Comprehensive Market,0.7,普通需求
334,60701,购物服务,综合市场,小商品市场,Shopping,Comprehensive Market,Small Commodity Market,0.65,普通需求
335,60702,购物服务,综合市场,旧货市场,Shopping,Comprehensive Market,Flea Market,0.5,低频需求
336,60703,购物服务,综合市场,农副产品市场,Shopping,Comprehensive Market,Agricultural Products Market,0.75,高频需求
337,60704,购物服务,综合市场,果品市场,Shopping,Comprehensive Market,Fruits Market,0.75,高频需求
338,60705,购物服务,综合市场,蔬菜市场,Shopping,Comprehensive Market,Vegetable Market,0.8,高频需求
339,60706,购物服务,综合市场,水产海鲜市场,Shopping,Comprehensive Market,Seafood Market,0.75,特色需求
340,60800,购物服务,文化用品店,文化用品店,Shopping,Stationary Store,Stationary Store,0.6,低频需求
341,60900,购物服务,体育用品店,体育用品店,Shopping,Sports Store,Sports Store,0.65,品质生活
342,60901,购物服务,体育用品店,李宁专卖店,Shopping,Sports Store,Li-Ning,0.75,国产品牌
343,60902,购物服务,体育用品店,耐克专卖店,Shopping,Sports Store,NIKE,0.85,国际品牌
344,60903,购物服务,体育用品店,阿迪达斯专卖店,Shopping,Sports Store,adidas,0.85,国际品牌
345,60904,购物服务,体育用品店,锐步专卖店,Shopping,Sports Store,Reebok,0.75,普通品牌
346,60905,购物服务,体育用品店,彪马专卖店,Shopping,Sports Store,PUMA,0.8,国际品牌
347,60906,购物服务,体育用品店,高尔夫用品店,Shopping,Sports Store,Golf Accessories Shop,0.7,特色需求
348,60907,购物服务,体育用品店,户外用品,Shopping,Sports Store,Outdoor Sports Shop,0.7,特色需求
349,61000,购物服务,特色商业街,特色商业街,Shopping,Commercial Street,Commercial Street,0.8,核心商业
350,61001,购物服务,特色商业街,步行街,Shopping,Commercial Street,Pedestrian Street,0.85,核心商业
351,61100,购物服务,服装鞋帽皮具店,服装鞋帽皮具店,Shopping,Clothing Store,Clothing Store,0.75,普通需求
352,61101,购物服务,服装鞋帽皮具店,品牌服装店,Shopping,Clothing Store,Brand Clothing Store,0.8,品质商业
353,61102,购物服务,服装鞋帽皮具店,品牌鞋店,Shopping,Clothing Store,Brand Shoes Store,0.75,普通需求
354,61103,购物服务,服装鞋帽皮具店,品牌皮具店,Shopping,Clothing Store,Brand Leather Ware Store,0.75,普通需求
355,61104,购物服务,服装鞋帽皮具店,品牌箱包店,Shopping,Clothing Store,Brand Bags and Suitcases Store,0.75,普通需求
356,61200,购物服务,专卖店,专营店,Shopping,Franchise Store,Franchise Store,0.7,普通需求
357,61201,购物服务,专卖店,古玩字画店,Shopping,Franchise Store,Antique Shop,0.6,特色需求
358,61202,购物服务,专卖店,珠宝首饰工艺品,Shopping,Franchise Store,Jewelry Store,0.75,品质商业
359,61203,购物服务,专卖店,钟表店,Shopping,Franchise Store,Watches Shop,0.75,品质商业
360,61204,购物服务,专卖店,眼镜店,Shopping,Franchise Store,Optical Shop,0.7,普通需求
361,61205,购物服务,专卖店,书店,Shopping,Franchise Store,Bookstore,0.75,品质生活
362,61206,购物服务,专卖店,音像店,Shopping,Franchise Store,CD/DVD Shop,0.6,低频需求
363,61207,购物服务,专卖店,儿童用品店,Shopping,Franchise Store,Children's Store,0.7,家庭需求
364,61208,购物服务,专卖店,自行车专卖店,Shopping,Franchise Store,Bike Shop,0.65,普通需求
365,61209,购物服务,专卖店,礼品饰品店,Shopping,Franchise Store,Gift Store,0.65,普通需求
366,61210,购物服务,专卖店,烟酒专卖店,Shopping,Franchise Store,Tobacco & Wine Franchise Store,0.7,普通需求
367,61211,购物服务,专卖店,宠物用品店,Shopping,Franchise Store,Pet's Store,0.65,特色需求
368,61212,购物服务,专卖店,摄影器材店,Shopping,Franchise Store,Camera Shop,0.65,专业需求
369,61213,购物服务,专卖店,宝马生活方式,Shopping,Franchise Store,BMW Lifestyle,0.7,高端品牌
370,61214,购物服务,专卖店,土特产专卖店,Shopping,Franchise Store,Local Products Franchise Store,0.65,特色需求
371,61300,购物服务,特殊买卖场所,特殊买卖场所,Shopping,Special Trade House,Special Trade House,0.5,低频需求
372,61301,购物服务,特殊买卖场所,拍卖行,Shopping,Special Trade House,Auction House,0.6,专业需求
373,61302,购物服务,特殊买卖场所,典当行,Shopping,Special Trade House,Pawn House,0.4,负面关联
374,61400,购物服务,个人用品/化妆品店,其它个人用品店,Shopping,Personal Care Items Shop,Personal Care Items Shop,0.7,普通需求
375,61401,购物服务,个人用品/化妆品店,莎莎,Shopping,Personal Care Items Shop,Sasa,0.75,知名品牌
376,70000,生活服务,生活服务场所,生活服务场所,Daily Life Service,Daily Life Service Place,Daily Life Service Place,0.29,高频需求
377,70100,生活服务,旅行社,旅行社,Daily Life Service,Travel Agency,Travel Agency,0.29,低频需求
378,70200,生活服务,信息咨询中心,信息咨询中心,Daily Life Service,Information Centre,Information Centre,0.29,便利服务
379,70201,生活服务,信息咨询中心,服务中心,Daily Life Service,Information Centre,Service Centre,0.29,便利服务
380,70202,生活服务,信息咨询中心,旅馆问讯,Daily Life Service,Information Centre,Enquire of Hotel,0.29,低频需求
381,70203,生活服务,信息咨询中心,行李查询/行李问询,Daily Life Service,Information Centre,Enquire of Baggage,0.29,低频需求
382,70300,生活服务,售票处,售票处,Daily Life Service,Ticket Office,Ticket Office,0.29,便利服务
383,70301,生活服务,售票处,飞机票代售点,Daily Life Service,Ticket Office,Airline Tickets Office,0.29,便利服务
384,70302,生活服务,售票处,火车票代售点,Daily Life Service,Ticket Office,Train Ticket Office,0.29,便利服务
385,70303,生活服务,售票处,长途汽车票代售点,Daily Life Service,Ticket Office,Coach Ticket Office,0.29,便利服务
386,70304,生活服务,售票处,船票代售点,Daily Life Service,Ticket Office,Ferry Ticket Office,0.29,低频需求
387,70305,生活服务,售票处,公交卡/月票代售点,Daily Life Service,Ticket Office,Bus IC Card,0.29,高频需求
388,70306,生活服务,售票处,公园景点售票处,Daily Life Service,Ticket Office,Park Box Office,0.29,便利服务
389,70400,生活服务,邮局,邮局,Daily Life Service,Post Office,Post Office,0.7,基础服务
390,70401,生活服务,邮局,邮政速递,Daily Life Service,Post Office,Express Post,0.75,便利服务
391,70500,生活服务,物流速递,物流速递,Daily Life Service,Logistics Service,Logistics Service,0.7,便利服务
392,70501,生活服务,物流速递,物流仓储场地,Daily Life Service,Logistics Service,Logistics Warehouse Space,0.6,专业需求
393,70600,生活服务,电讯营业厅,电讯营业厅,Daily Life Service,Telecom Office,Telecom Office,0.29,高频需求
394,70601,生活服务,电讯营业厅,中国电信营业厅,Daily Life Service,Telecom Office,China Telecom Office,0.29,基础服务
395,70603,生活服务,电讯营业厅,中国移动营业厅,Daily Life Service,Telecom Office,China Mobile Office,0.29,基础服务
396,70604,生活服务,电讯营业厅,中国联通营业厅,Daily Life Service,Telecom Office,China Unicom Office,0.29,基础服务
397,70605,生活服务,电讯营业厅,中国铁通营业厅,Daily Life Service,Telecom Office,China Tietong Office,0.29,普通服务
398,70606,生活服务,电讯营业厅,中国卫通营业厅,Daily Life Service,Telecom Office,China Satcom Office,0.29,专业服务
399,70607,生活服务,电讯营业厅,和记电讯,Daily Life Service,Telecom Office,Hutchison Telecommunications,0.29,普通服务
400,70608,生活服务,电讯营业厅,数码通电讯,Daily Life Service,Telecom Office,SmarTone,0.29,普通服务
401,70609,生活服务,电讯营业厅,电讯盈科,Daily Life Service,Telecom Office,PCCW,0.29,普通服务
402,70610,生活服务,电讯营业厅,中国移动香港,Daily Life Service,Telecom Office,China Mobile Hong Kong,0.29,基础服务
403,70700,生活服务,事务所,事务所,Daily Life Service,Professional Service Firm,Professional Service Firm,0.29,专业服务
404,70701,生活服务,事务所,律师事务所,Daily Life Service,Professional Service Firm,Law Firm,0.29,专业服务
405,70702,生活服务,事务所,会计师事务所,Daily Life Service,Professional Service Firm,Accounting Firm,0.29,专业服务
406,70703,生活服务,事务所,评估事务所,Daily Life Service,Professional Service Firm,Evaluation Firm,0.29,专业服务
407,70704,生活服务,事务所,审计事务所,Daily Life Service,Professional Service Firm,Audit Firm,0.29,专业服务
408,70705,生活服务,事务所,认证事务所,Daily Life Service,Professional Service Firm,Authentication Services,0.29,专业服务
409,70706,生活服务,事务所,专利事务所,Daily Life Service,Professional Service Firm,Patent Office,0.29,专业服务
410,70800,生活服务,人才市场,人才市场,Daily Life Service,Job Center,Job Center,0.29,低频需求
411,70900,生活服务,自来水营业厅,自来水营业厅,Daily Life Service,Water Supply Service Office,Water Supply Service Office,0.29,基础服务
412,71000,生活服务,电力营业厅,电力营业厅,Daily Life Service,Electric Supply Service Office,Electric Supply Service Office,0.29,基础服务
413,71100,生活服务,美容美发店,美容美发店,Daily Life Service,Beauty and Hairdressing Store,Beauty and Hairdressing Store,0.29,高频需求
414,71200,生活服务,维修站点,维修站点,Daily Life Service,Repair Store,Repair Store,0.29,便利服务
415,71300,生活服务,摄影冲印店,摄影冲印,Daily Life Service,Photo Finishing,Photo Finishing,0.29,低频需求
416,71400,生活服务,洗浴推拿场所,洗浴推拿场所,Daily Life Service,Bath & Massage Center,Bath & Massage Center,0.29,品质生活
417,71500,生活服务,洗衣店,洗衣店,Daily Life Service,Laundry,Laundry,0.29,高频需求
418,71600,生活服务,中介机构,中介机构,Daily Life Service,Agency,Agency,0.29,专业服务
419,71700,生活服务,搬家公司,搬家公司,Daily Life Service,Move Service,Move Service,0.29,低频需求
420,71800,生活服务,彩票彩券销售点,彩票彩券销售点,Daily Life Service,Lottery Store,Lottery Store,0.29,普通需求
421,71801,生活服务,彩票彩券销售点,马会投注站,Daily Life Service,Lottery Store,Horse-Betting Center,0.29,潜在负面
422,71900,生活服务,丧葬设施,丧葬设施,Daily Life Service,Funeral Facilities,Funeral Facilities,-0.8,严重负面
423,71901,生活服务,丧葬设施,陵园,Daily Life Service,Funeral Facilities,Cemetery,-0.8,严重负面
424,71902,生活服务,丧葬设施,公墓,Daily Life Service,Funeral Facilities,Cemetery,-0.8,严重负面
425,71903,生活服务,丧葬设施,殡仪馆,Daily Life Service,Funeral Facilities,Funeral House,-0.9,严重负面
426,72000,生活服务,婴儿服务场所,婴儿服务场所,Daily Life Service,Baby Service Place,Baby Service Place,0.29,家庭需求
427,72001,生活服务,婴儿服务场所,婴儿游泳馆,Daily Life Service,Baby Service Place,Baby Natatorium,0.29,特色需求
428,72101,生活服务,共享设备,充电宝,Daily Life Service,Shared Device,Power Bank,0.29,便利服务
429,73000,生活服务,电动自动车充电站,电动自行车充电站,Daily Life Service,Electric Bicycle Charging Station,Electric Bicycle Charging Station,0.29,新兴需求
430,73001,生活服务,电动自动车充电站,电动自行车换电站,Daily Life Service,Electric Bicycle Power Swapping Station,Electric Bicycle Power Swapping Station,0.29,新兴需求
431,73002,生活服务,电动自动车充电站,电动自行车专用充电站,Daily Life Service,Electric Bicycle Dedicated Charging Station,Electric Bicycle Dedicated Charging Station,0.29,新兴需求
432,80000,体育休闲服务,体育休闲服务场所,体育休闲服务场所,Sports & Recreation,Sports & Recreation Places,Sports & Recreation Places,0.8,品质生活
433,80100,体育休闲服务,运动场馆,运动场所,Sports & Recreation,Sports Stadium,Sports Places,0.75,健康生活
434,80101,体育休闲服务,运动场馆,综合体育馆,Sports & Recreation,Sports Stadium,Sports Centre,0.8,核心设施
435,80102,体育休闲服务,运动场馆,保龄球馆,Sports & Recreation,Sports Stadium,Bowling Hall,0.7,特色设施
436,80103,体育休闲服务,运动场馆,网球场,Sports & Recreation,Sports Stadium,Tennis Court,0.7,特色设施
437,80104,体育休闲服务,运动场馆,篮球场馆,Sports & Recreation,Sports Stadium,Basketball Stadium,0.75,热门设施
438,80105,体育休闲服务,运动场馆,足球场,Sports & Recreation,Sports Stadium,Football Field,0.75,热门设施
439,80106,体育休闲服务,运动场馆,滑雪场,Sports & Recreation,Sports Stadium,Ski Field,0.7,特色设施
440,80107,体育休闲服务,运动场馆,溜冰场,Sports & Recreation,Sports Stadium,Skating Rink,0.7,特色设施
441,80108,体育休闲服务,运动场馆,户外健身场所,Sports & Recreation,Sports Stadium,Outdoor Gym Facility,0.75,健康生活
442,80109,体育休闲服务,运动场馆,海滨浴场,Sports & Recreation,Sports Stadium,Public Beach,0.8,优质设施
443,80110,体育休闲服务,运动场馆,游泳馆,Sports & Recreation,Sports Stadium,Natatorium,0.8,核心设施
444,80111,体育休闲服务,运动场馆,健身中心,Sports & Recreation,Sports Stadium,Gym Center,0.8,核心设施
445,80112,体育休闲服务,运动场馆,乒乓球馆,Sports & Recreation,Sports Stadium,Table Tennis Hall,0.7,普通设施
446,80113,体育休闲服务,运动场馆,台球厅,Sports & Recreation,Sports Stadium,Pool Room,0.65,普通设施
447,80114,体育休闲服务,运动场馆,壁球场,Sports & Recreation,Sports Stadium,Squash Court,0.65,特色设施
448,80115,体育休闲服务,运动场馆,马术俱乐部,Sports & Recreation,Sports Stadium,Horse Riding Club,0.7,高端设施
449,80116,体育休闲服务,运动场馆,赛马场,Sports & Recreation,Sports Stadium,Race Track,0.6,特色设施
450,80117,体育休闲服务,运动场馆,橄榄球场,Sports & Recreation,Sports Stadium,Rugby Court,0.6,特色设施
451,80118,体育休闲服务,运动场馆,羽毛球场,Sports & Recreation,Sports Stadium,Badminton Court,0.75,热门设施
452,80119,体育休闲服务,运动场馆,跆拳道场馆,Sports & Recreation,Sports Stadium,Taekwondo Venue,0.7,特色设施
